Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date
65,86,67,78,2021
64,85,71,80,2019
76,77,77,84,2021
80,76,75,75,2021
63,91,62,90,2019
73,95,62,79,2020
72,82,76,79,2020
77,82,62,87,2021
74,90,60,100,2019
68,85,72,89,2019
64,78,80,84,2019
75,83,76,83,2019
62,89,61,76,2019
69,80,73,87,2021
74,84,80,79,2019
69,85,66,78,2019
64,75,68,75,2021
75,81,76,95,2019
73,80,73,75,2020
75,92,62,97,2020
69,82,60,93,2021
68,90,66,83,2019
66,88,62,84,2018
75,75,80,89,2021
80,83,64,80,2020
71,95,60,95,2020
63,83,70,81,2019
62,77,67,78,2021
64,83,60,84,2021
72,82,61,95,2019
73,66,83,83,2019
76,82,66,69,2019
87,89,86,85,2020
94,95,85,94,2020
99,81,95,80,2021
69,75,98,71,2019
64,76,85,76,2021
77,60,91,87,2021
92,71,91,74,2019
99,86,72,80,2018
66,98,63,69,2021
62,90,89,96,2020
95,94,93,98,2020
60,98,92,68,2019
60,65,95,65,2020
64,61,94,68,2021
75,79,60,73,2021
70,98,75,95,2020
80,100,91,80,2019
67,73,78,93,2018
98,66,89,75,2020
66,67,76,84,2021
100,94,72,84,2021
70,67,100,88,2020
68,70,61,72,2019
90,62,83,85,2019
80,99,91,83,2018
91,91,97,63,2019
83,71,65,60,2019
93,79,98,77,2019
83,65,82,83,2020
79,98,90,89,2019
92,63,72,69,2019
88,92,96,100,2019
100,62,97,80,2018
83,68,66,75,2019
72,94,83,60,2018
84,84,65,100,2021
61,64,66,70,2019
78,100,93,63,2020
64,70,92,63,2020
62,77,98,82,2021
86,86,92,76,2021
87,75,74,66,2021
80,84,88,100,2020
78,80,67,85,2020
86,78,67,100,2020
95,87,80,65,2020
82,65,63,89,2019
68,61,60,80,2021
98,63,80,89,2019
77,60,76,84,2018
84,74,70,80,2020
68,80,66,77,2021
72,60,99,88,2020
99,64,61,88,2018
85,70,77,89,2021
71,71,88,97,2018
95,69,65,97,2018
73,96,86,95,2021
62,77,73,85,2019
87,95,65,93,2020
66,72,84,69,2019
77,87,63,81,2020
69,80,94,61,2018
93,88,90,85,2021
79,71,84,86,2021
73,87,61,100,2020
83,73,73,78,2018
94,91,77,68,2020
98,96,89,76,2019
81,75,90,63,2018
79,75,98,61,2018
69,62,86,93,2021
63,84,62,76,2020
85,84,95,63,2018
75,96,83,69,2020
96,99,75,84,2018
68,65,93,69,2019
66,67,85,95,2021
87,86,86,91,2019
70,85,93,62,2021
75,86,73,93,2018
90,75,98,78,2020
87,65,69,66,2020
84,70,77,85,2021
64,84,85,86,2019
61,64,60,79,2019
60,61,73,65,2018
91,84,71,82,2020
72,99,100,69,2019
62,81,94,90,2018
92,61,89,60,2021
99,75,81,66,2020
81,100,91,100,2020
71,61,72,73,2018
92,93,98,92,2019
89,87,67,98,2020
97,64,93,82,2021
77,65,71,100,2020
88,90,84,97,2019
83,94,76,77,2020
80,90,83,80,2018
72,81,76,71,2018
75,68,62,97,2020
63,91,70,72,2021
74,95,81,96,2019
79,94,79,86,2020
72,68,88,86,2018
99,67,74,75,2018
67,93,72,87,2021
75,67,82,64,2020
89,66,96,60,2020
92,80,74,62,2020
77,92,83,71,2018
94,100,97,69,2018
79,81,68,75,2018
72,60,78,77,2021
75,65,97,94,2019
79,82,88,99,2019
73,73,71,71,2018
67,95,91,91,2018
65,87,65,99,2021
68,84,63,85,2020
66,68,87,75,2019
63,63,72,87,2019
92,62,75,89,2020
80,72,77,70,2021
